hour,weekday,service_avg_minutes,queue_length,counters_active,priority,wait_minutes
13,5,15,5,2,4,10
15,1,12,13,4,1,23
8,1,25,9,3,1,91
11,5,10,7,3,2,15
14,5,30,6,3,3,47
17,2,18,11,4,2,44
16,0,30,9,2,1,68
13,4,10,10,3,1,23
8,4,15,7,3,1,30
9,3,15,11,5,1,34
12,4,35,8,2,3,68
16,5,10,7,5,1,15
15,0,20,10,2,1,115
12,1,10,6,2,1,24
15,5,30,7,4,2,41
17,3,10,11,4,1,34
11,4,10,13,3,1,52
9,2,10,11,5,1,21
17,0,35,10,3,2,100
12,5,20,5,4,1,25
13,1,15,7,3,1,27
14,3,25,16,4,1,116
15,3,20,12,4,2,42
15,2,20,17,3,1,169
17,2,25,8,4,1,42
10,1,20,12,4,1,75
10,1,30,17,2,2,180
17,1,15,13,5,1,32
17,4,20,9,2,1,105
9,5,15,7,2,1,74
12,3,35,6,3,1,47
11,3,10,15,5,1,32
13,0,35,7,3,3,22
9,4,15,16,3,1,110
11,4,20,8,4,1,30
13,3,25,9,4,1,44
11,1,15,11,3,1,71
9,1,20,15,2,1,152
9,1,12,19,4,1,55
13,1,30,6,5,2,22
11,2,30,16,2,1,125
17,3,18,9,3,3,23
13,2,18,8,5,1,35
13,2,35,7,3,1,118
8,6,30,5,4,2,29
17,5,18,4,3,2,10
10,4,10,12,2,1,62
11,3,15,13,4,1,69
15,2,25,13,4,1,74
13,3,18,7,4,1,37
17,2,15,12,3,1,63
12,2,15,6,2,1,67
17,6,18,5,2,1,64
11,6,12,9,4,1,36
11,6,12,7,2,1,61
14,0,30,12,4,4,28
14,2,18,13,4,1,58
11,1,18,12,3,2,37
15,1,30,14,2,1,180
13,6,30,4,5,1,23
12,4,35,8,4,1,79
12,0,20,6,2,1,77
10,1,30,12,2,1,180
10,2,20,13,4,1,75
13,3,25,8,4,3,55
14,1,35,12,2,1,180
11,1,12,18,2,1,107
13,3,25,6,3,1,77
15,3,18,12,5,1,48
14,5,12,8,2,1,39
14,1,30,16,4,3,73
11,3,30,9,4,1,71
13,4,10,7,4,2,9
9,1,12,12,4,2,22
11,1,18,17,4,3,72
11,4,10,12,2,1,47
13,1,12,5,2,2,19
13,1,35,12,3,1,145
13,1,18,6,3,1,37
13,3,12,6,4,1,19
9,4,12,8,2,1,62
11,5,30,9,3,2,86
13,1,35,7,2,3,94
13,5,12,3,3,2,12
8,6,35,4,4,4,12
15,3,25,11,4,1,66
11,3,35,10,2,2,143
12,1,20,6,4,3,27
10,4,18,9,3,1,84
16,2,30,9,2,1,82
11,5,30,7,4,1,34
11,6,30,9,5,1,61
13,4,30,6,4,2,25
9,1,12,14,3,3,83
15,0,30,18,4,1,180
9,3,35,17,3,1,108
14,3,20,10,4,1,65
10,5,15,9,2,2,23
10,1,35,16,2,1,180
12,1,30,9,3,1,105
16,3,12,6,3,3,23
11,0,35,9,4,4,31
17,1,12,9,5,1,22
12,6,15,6,2,1,61
10,2,25,9,4,1,109
15,2,25,18,3,1,111
8,4,35,8,5,1,83
13,5,30,4,3,4,17
13,4,10,9,3,2,22
13,2,20,6,2,1,58
16,6,18,3,3,1,14
10,4,10,13,3,1,36
12,2,30,7,4,1,53
9,0,35,13,5,3,56
8,5,35,4,3,1,51
16,3,30,8,2,1,99
10,1,25,12,3,1,75
13,4,10,7,4,1,15
14,4,12,9,2,1,88
10,5,15,9,2,1,81
13,4,25,9,4,1,48
16,0,15,10,5,2,18
15,2,20,10,3,2,61
13,2,25,6,3,2,44
12,2,25,6,3,1,45
10,4,35,14,3,1,180
13,4,35,7,3,3,39
13,6,15,4,3,1,23
9,3,20,7,5,2,15
12,1,20,9,5,3,26
12,2,12,6,4,1,17
12,5,30,4,3,1,39
13,1,20,7,5,1,28
15,2,15,12,4,1,18
12,3,30,6,3,3,56
13,0,10,6,5,3,8
11,2,12,15,2,1,180
15,6,12,7,4,1,11
13,1,18,5,3,1,31
12,0,35,5,5,1,21
11,3,20,12,2,1,140
9,6,35,10,5,1,87
12,2,25,9,3,2,55
10,5,35,9,2,4,61
11,6,30,8,3,1,85
8,1,15,9,4,1,12
14,6,20,8,5,1,54
10,4,20,11,3,1,64
16,4,15,8,5,1,19
10,1,30,15,3,1,95
11,4,25,14,4,1,121
15,1,18,11,3,1,24
13,2,12,6,3,4,7
8,5,18,7,2,1,64
14,2,18,8,3,1,71
15,3,12,11,3,1,42
8,1,25,9,4,1,55
14,1,10,7,3,1,18
15,3,30,12,2,1,180
14,2,35,18,2,1,180
13,6,12,4,2,2,19
13,3,30,7,4,3,24
10,0,25,16,4,1,130
11,4,18,10,5,1,43
10,1,25,16,4,1,100
13,4,15,6,3,2,17
10,1,10,16,5,2,23
13,4,12,5,3,4,5
13,4,15,6,3,1,23
13,2,15,7,2,1,43
9,6,10,10,3,2,16
10,4,25,19,5,1,83
14,1,10,10,3,1,21
11,3,20,12,3,1,111
8,3,25,9,4,4,16
14,1,25,12,2,1,180
13,6,35,3,3,3,7
11,2,30,18,3,1,180
13,6,15,4,3,3,19
14,4,18,13,4,1,48
15,3,12,11,3,3,52
15,4,20,10,3,1,63
8,0,20,9,5,1,42
14,2,12,10,5,1,20
12,3,10,12,3,1,24
13,5,35,3,4,2,13
17,5,30,7,3,1,51
17,2,12,5,3,1,14
9,1,15,14,2,1,151
16,2,12,12,3,3,37
8,6,15,4,3,1,27
8,1,18,9,3,2,23
11,2,30,8,4,1,60
9,1,35,12,3,2,66
12,6,12,6,5,1,11
12,1,12,7,4,1,24
9,2,12,13,2,1,75
12,6,25,6,4,1,43
11,4,30,13,3,1,130
17,0,12,12,4,1,34
8,2,15,9,2,1,28
14,3,35,14,2,2,180
15,5,20,5,4,1,3
11,5,18,7,3,1,43
11,1,35,15,3,2,166
14,3,30,15,5,1,88
15,2,12,9,4,4,10
12,3,30,6,2,1,15
9,4,10,18,2,2,87
15,5,12,8,5,1,18
15,2,12,11,3,2,39
13,4,30,8,4,2,44
10,4,12,7,4,2,27
10,3,25,10,3,1,100
10,2,35,12,2,1,180
17,5,10,4,2,1,31
9,1,35,13,5,4,16
11,1,20,15,4,3,65
9,3,30,21,2,2,180
13,2,30,6,4,1,50
13,3,10,7,4,1,17
9,4,35,9,3,1,88
14,3,35,15,3,2,109
17,5,20,3,5,1,12
14,2,10,14,3,4,19
11,2,30,12,5,1,85
11,5,20,9,2,1,106
9,2,25,11,2,2,90
11,4,10,12,3,3,45
13,5,20,3,3,1,18
10,3,20,17,3,4,40
14,1,30,13,3,1,122
13,3,20,7,4,3,23
12,3,18,6,4,1,14
12,4,18,6,5,3,14
10,5,18,8,3,1,82
14,2,35,19,3,1,180
15,4,35,19,3,3,136
12,3,20,6,4,1,32
10,4,18,16,4,1,96
15,3,30,17,3,1,110
13,3,18,8,4,1,37
8,1,18,9,4,1,33
11,4,25,13,3,1,148
13,6,25,3,3,1,25
12,3,15,6,3,1,37
13,2,35,6,5,3,28
13,1,30,6,5,3,19
13,3,25,8,2,1,88
9,5,18,9,5,1,32
10,3,18,14,3,3,66
17,1,15,9,4,2,8
11,0,15,18,4,1,93
11,1,35,14,4,4,38
11,3,25,11,3,1,85
10,3,30,17,3,1,111
10,3,30,20,3,1,180
14,0,12,12,4,1,33
8,5,18,4,3,1,30
12,1,15,9,4,1,31
9,3,18,8,2,1,86
15,3,10,8,3,2,13
13,2,35,5,4,1,44
14,5,18,7,3,1,76
11,1,20,14,5,1,32
11,3,15,17,3,2,25
12,2,18,8,3,1,49
12,1,30,7,3,4,17
11,4,35,17,4,1,180
13,1,30,6,3,1,59
12,1,20,5,2,4,19
15,3,15,12,4,1,43
13,3,10,8,5,1,13
12,5,18,4,2,1,49
14,3,18,13,4,1,46
12,0,20,6,3,1,48
13,0,35,6,5,3,39
8,5,35,4,2,1,42
13,3,25,6,3,1,45
13,2,12,7,3,1,30
12,2,12,7,3,1,30
15,5,35,7,3,2,34
13,5,15,3,3,1,15
13,1,35,7,4,1,51
11,6,30,5,3,1,70
17,4,35,11,4,3,96
17,1,30,9,3,1,21
12,2,12,6,2,1,51
14,1,25,13,2,1,180
8,4,25,10,3,1,121
10,2,20,16,2,1,180
15,1,35,15,2,1,180
11,4,30,14,2,4,40
17,1,20,9,2,1,159
10,4,35,17,4,1,92
14,2,25,24,4,3,180
10,3,12,15,5,1,47
8,1,20,9,4,1,40
13,3,30,7,2,3,126
12,4,25,5,3,1,50
9,4,12,8,4,1,13
13,0,35,8,4,1,77
16,2,20,7,2,1,66
8,2,30,9,4,2,63
14,4,12,12,3,1,48
15,5,35,9,4,1,98
11,2,15,15,4,1,74
13,3,35,5,4,1,45
13,6,25,4,4,1,24
12,3,20,7,3,1,47
11,3,10,11,4,1,37
11,2,35,15,2,2,180
12,6,18,3,3,1,23
15,5,10,7,4,1,22
8,1,10,14,2,1,76
14,3,20,10,5,1,51
15,3,20,13,3,3,88
12,3,30,6,2,2,38
14,4,25,11,2,1,167
10,4,30,11,4,1,125
15,1,15,15,3,1,54
8,4,35,9,2,2,102
14,1,20,17,3,3,123
14,6,12,9,3,4,5
13,2,20,5,3,1,38
12,2,20,7,5,2,23
15,1,20,9,4,1,47
10,2,20,12,4,1,71
13,4,18,8,3,1,44
15,0,15,10,3,3,47
10,4,12,14,3,1,60
12,0,35,7,5,1,28
15,0,10,11,4,1,42
11,1,18,16,5,1,65
12,4,25,6,2,1,103
11,2,18,10,2,1,102
13,1,10,6,4,1,7
11,1,10,13,4,1,42
11,3,25,14,3,1,139
11,3,18,12,2,1,88
14,2,10,12,3,1,34
13,2,35,5,4,1,29
12,1,18,11,5,1,34
13,4,18,6,3,1,34
13,1,25,7,4,1,43
9,6,12,8,4,1,20
12,5,12,3,2,1,18
11,1,20,12,4,1,60
11,2,10,10,3,1,36
16,1,20,10,4,1,46
11,3,25,13,4,1,85
11,5,15,4,3,1,23
11,5,18,7,3,2,22
10,4,35,14,3,1,128
11,4,30,13,2,1,180
11,6,30,7,3,2,97
14,5,25,3,3,1,23
12,2,30,5,3,1,49
17,1,20,12,3,2,87
14,2,25,16,4,1,121
15,2,18,19,3,1,101
9,4,20,8,3,1,43
17,5,12,4,4,1,6
10,6,30,13,3,1,172
14,2,10,10,3,4,11
11,1,18,18,3,1,149
12,3,35,6,3,1,49
14,4,15,14,3,1,82
12,3,12,7,4,1,20
13,1,15,10,3,1,53
10,5,12,9,5,1,26
14,1,35,16,5,1,142
12,2,10,7,4,4,5
11,2,12,10,4,1,39
8,4,30,8,5,1,48
13,2,35,6,3,1,106
13,4,10,5,3,1,15
9,6,15,6,5,1,16
10,4,35,16,2,1,180
15,3,30,10,3,1,79
15,4,35,14,4,1,93
11,2,20,11,4,1,56
13,5,20,6,2,2,58
16,3,15,10,4,2,32
14,2,25,9,2,2,104
9,3,18,11,3,1,66
11,2,20,11,2,1,157
9,3,18,12,3,1,72
13,1,18,7,5,1,25
14,2,15,17,5,1,71
14,2,30,15,4,2,69
13,4,15,8,3,1,27
13,1,25,11,2,2,129
10,4,10,10,3,1,49
14,1,20,11,3,1,30
14,0,12,13,3,1,76
9,2,30,13,3,1,84
9,5,25,9,4,1,45
13,3,10,7,5,2,5
10,2,25,14,3,4,55
9,3,30,11,4,1,93
8,4,15,13,2,3,104
14,1,10,16,3,1,38
15,4,12,13,4,4,6
10,3,18,12,3,1,72
8,6,30,7,3,1,49
10,3,30,11,4,1,122
12,3,18,8,3,1,41
8,2,15,9,3,1,36
15,3,10,16,4,1,45
8,2,20,9,3,1,83
12,4,25,7,4,1,73
13,3,12,6,4,1,19
14,1,15,18,3,1,71
13,4,35,7,2,2,148
9,2,10,19,4,1,62
15,3,12,13,5,1,44
10,3,20,18,3,1,149
12,3,30,7,4,4,13
17,4,35,7,2,1,126
16,3,30,13,4,1,90
13,0,15,6,3,2,25
10,3,12,10,2,1,63
13,4,18,6,3,1,36
8,5,15,8,4,1,31
14,6,12,6,3,1,29
13,4,35,6,4,1,53
13,1,25,6,3,1,67
15,4,15,14,4,2,30
11,5,35,7,4,1,77
17,4,30,7,3,1,76
15,4,35,12,4,1,101
11,1,10,9,4,1,24
10,1,30,15,3,3,46
16,3,35,13,3,2,118
10,3,20,14,3,1,117
15,6,15,6,3,1,23
15,4,35,19,2,2,180
14,2,35,13,3,1,180
12,4,20,5,2,4,13
13,3,18,6,4,1,41
16,3,18,7,3,1,64
12,1,20,8,3,1,57
12,6,20,4,4,1,27
13,1,30,6,4,3,58
9,5,18,10,3,1,48
15,4,15,18,2,1,64
10,3,25,14,4,1,115
17,6,10,9,3,1,3
17,3,15,11,4,1,46
16,5,10,6,2,1,14
14,4,15,13,2,1,92
14,2,35,10,4,1,86
11,1,25,14,3,1,180
15,3,12,12,4,1,37
13,4,18,8,3,2,25
17,1,25,9,2,2,87
12,2,15,7,5,2,9
14,4,10,14,4,1,25
12,3,25,6,3,1,39
11,2,35,16,4,3,150
14,2,15,9,2,2,77
8,2,35,12,4,1,93
12,4,25,7,3,2,41
13,1,30,8,3,1,103
11,2,35,14,3,1,180
10,4,12,16,3,1,50
15,2,12,17,4,3,51
15,4,18,15,4,1,47
12,1,12,6,3,1,23
16,3,35,10,5,1,77
17,3,20,6,3,1,37
13,2,18,9,3,1,54
11,2,18,13,3,1,61
10,3,35,9,5,1,60
12,2,25,6,3,3,53
13,1,30,8,4,1,86
15,5,12,5,3,1,4
13,3,30,7,5,1,61
12,4,12,7,3,1,36
12,4,20,10,3,1,59
13,4,25,9,3,3,67
16,5,35,6,3,4,32
14,3,30,14,4,4,33
13,3,30,6,4,1,54
14,4,35,12,2,2,180
12,2,25,5,4,1,39
13,2,25,8,2,2,43
14,1,18,12,3,1,19
12,0,12,7,4,1,15
12,3,20,6,2,1,7
13,3,18,9,4,1,22
12,0,35,6,4,1,18
9,6,18,8,4,1,39
16,1,15,11,3,1,100
8,4,35,9,2,1,180
11,3,12,15,5,1,45
9,4,25,14,4,1,70
10,4,15,14,2,2,93
10,1,30,15,3,1,180
8,4,12,7,5,1,15
14,2,35,12,4,2,63
11,3,20,9,4,2,31
10,6,15,6,3,1,44
8,1,20,8,3,3,12
14,5,18,7,5,1,23
10,4,15,10,4,1,75
15,1,20,12,3,1,67
10,1,30,9,3,2,91
8,6,10,5,3,2,13
14,6,35,9,2,2,137
12,0,35,9,3,1,45
12,2,12,7,4,1,8
12,4,15,9,2,1,74
9,5,20,6,3,3,19
13,3,18,6,4,3,9
9,1,35,15,2,1,180
12,3,35,5,4,2,36
13,3,18,9,3,1,41
13,2,30,7,2,1,52
15,4,20,10,3,1,95
15,2,35,9,4,1,83
10,3,12,13,3,3,60
8,3,35,13,4,3,80
11,2,25,17,3,1,180
12,4,10,9,3,2,23
17,3,30,11,4,1,90
15,4,15,15,4,1,49
13,3,20,10,4,1,41
13,2,18,9,3,1,51
11,1,12,11,5,1,21
8,2,30,8,2,1,128
9,0,25,17,4,4,48
12,2,25,7,4,3,32
15,1,18,12,3,1,98
15,2,10,9,3,2,26
13,4,25,10,3,1,95
10,1,18,13,3,1,99
9,1,10,15,4,1,40
17,4,30,6,3,2,52
13,4,20,6,2,1,40
13,1,30,5,4,1,51
13,4,18,7,4,2,17
10,3,20,11,3,1,106
11,0,18,10,3,1,76
12,4,30,5,2,1,63
14,2,35,13,4,1,180
14,4,35,11,2,1,148
15,3,30,13,4,1,119
10,1,25,17,2,4,106
13,1,25,7,3,1,72
10,1,20,16,3,2,45
14,3,20,16,3,1,72
9,2,35,18,4,1,180
10,6,10,7,5,1,11
13,2,30,7,4,1,50
17,3,10,6,4,2,14
12,6,20,6,4,4,4
13,1,10,7,3,1,13
10,5,18,5,3,1,20
12,4,15,6,5,1,14
11,2,35,10,4,1,118
10,4,35,14,3,1,180
12,2,18,8,4,1,36
11,6,20,9,4,1,60
11,4,30,17,4,1,116
10,2,30,12,3,1,58
14,3,25,16,4,1,101
15,5,12,9,3,1,39
14,4,18,11,4,1,68
10,2,12,14,2,1,137
14,5,12,4,3,1,16
9,3,30,16,3,3,78
13,3,20,9,3,4,14
14,5,35,11,3,1,173
11,2,30,19,5,4,31
17,2,18,14,4,1,69
10,3,18,16,4,1,71
14,0,35,17,3,3,180
15,5,20,10,4,1,27
11,1,20,11,3,1,134
8,1,20,11,4,1,70
14,4,12,14,4,3,29
16,6,15,6,3,1,33
15,5,30,8,4,1,59
9,2,20,11,4,1,42
14,4,25,16,5,4,30
13,5,20,6,2,1,77
11,4,20,11,2,2,76
14,1,35,9,4,3,60
9,6,10,4,3,1,17
14,2,35,14,3,1,168
12,2,25,8,3,2,47
10,3,30,17,3,1,180
14,3,25,13,5,1,122
9,2,10,16,5,1,26
15,2,25,12,3,1,108
10,4,20,11,4,2,3
9,2,25,12,4,1,58
11,4,30,9,3,2,56
13,1,20,6,4,1,26
9,1,20,13,5,1,29
16,2,20,10,4,1,50
12,1,35,6,3,1,41
10,0,15,17,2,1,136
9,1,15,12,4,1,27
14,1,30,14,3,1,180
13,1,15,7,3,1,22
12,2,25,6,5,1,8
12,2,10,7,2,1,35
15,1,12,14,4,1,23
13,2,15,5,5,3,15
17,4,18,8,3,3,59
9,2,25,11,3,1,96
9,4,25,10,5,1,30
11,3,18,16,4,2,57
17,3,10,9,3,1,43
17,6,12,4,4,1,10
10,3,25,14,2,1,127
14,2,18,15,3,1,107
17,6,30,6,3,1,52
15,0,15,10,5,3,17
8,4,20,9,3,1,74
13,0,18,8,4,2,24
14,3,12,21,4,1,55
15,3,18,11,5,4,10
17,3,18,7,3,3,33
9,2,10,19,4,1,43
13,4,35,6,2,1,142
15,4,20,12,3,4,21
9,4,35,14,4,1,162
15,2,35,17,4,1,154
13,4,35,7,3,1,101
9,3,12,15,3,1,25
8,2,20,9,3,1,54
8,4,35,9,3,1,151
16,3,30,8,3,1,43
9,0,35,14,3,1,180
9,6,10,5,2,1,22
9,3,18,15,3,1,113
15,5,30,7,4,3,20
17,3,25,8,3,1,73
15,4,18,17,3,1,76
10,5,10,8,2,3,49
12,5,20,4,4,1,14
10,1,30,16,3,1,173
11,1,15,16,2,1,131
17,2,25,8,3,2,18
17,2,12,9,2,1,75
10,3,12,14,4,1,39
13,2,10,5,5,1,14
10,1,20,14,3,1,55
11,3,35,15,3,1,180
9,1,35,14,5,2,115
11,3,10,12,2,1,106
10,3,20,16,3,1,102
9,3,18,7,2,2,20
12,2,18,7,2,2,48
13,3,18,7,3,1,66
14,2,25,17,3,4,55
12,1,18,7,4,4,8
11,2,15,11,5,2,32
12,2,30,7,2,1,172
12,1,12,7,3,1,40
9,3,18,14,4,1,63
12,1,10,9,4,3,16
11,4,10,17,5,1,41
11,1,35,13,2,1,171
11,1,15,9,4,4,15
16,1,15,13,3,1,82
11,1,25,12,4,1,120
10,0,18,12,3,1,92
10,1,18,12,4,1,42
15,5,25,9,4,1,45
14,4,15,14,3,1,82
12,3,30,8,5,2,20
15,2,12,12,3,1,32
15,3,20,10,3,3,72
12,4,25,6,4,1,30
16,3,35,10,3,1,142
10,4,12,13,3,1,54
11,5,35,9,2,1,142
9,4,15,11,4,1,49
14,2,12,11,4,1,30
12,4,15,7,5,1,33
14,4,10,15,3,1,30
12,4,35,8,4,1,39
9,3,25,17,3,1,146
13,1,30,11,4,1,39
12,1,12,9,4,1,34
13,1,18,7,2,2,38
9,2,25,15,3,3,94
9,1,30,12,4,3,95
11,2,20,12,3,1,115
15,0,30,14,4,1,109
13,4,12,8,4,4,6
9,2,35,13,2,1,180
11,4,35,15,3,4,54
14,2,35,9,4,2,45
14,5,20,9,4,1,37
16,3,10,10,2,1,42
11,2,12,13,3,3,18
13,1,15,8,3,2,33
12,5,15,3,4,1,13
15,1,15,12,3,2,27
11,5,20,5,5,1,18
12,2,35,7,2,2,128
10,4,18,14,3,1,145
15,3,18,13,4,1,53
11,6,20,7,3,1,76
12,4,20,7,3,3,47
13,2,35,6,4,1,43
16,3,35,7,2,1,85
12,4,20,9,3,1,57
16,3,12,10,4,1,27
12,4,25,9,2,1,136
8,5,35,6,4,1,38
13,1,18,6,2,1,38
16,5,25,6,3,1,33
11,1,18,12,3,1,88
12,4,15,7,3,2,33
11,2,35,12,5,1,98
8,3,35,8,3,1,119
10,1,30,16,4,1,180
14,4,12,14,4,1,61
9,6,25,5,5,3,27
13,3,15,5,3,1,21
13,1,18,5,2,1,63
12,4,25,8,3,1,50
8,3,10,13,3,1,49
15,2,15,14,3,4,21
13,2,18,6,2,2,37
13,2,20,8,2,1,78
12,3,12,9,5,3,19
16,5,20,6,5,1,15
9,1,10,9,4,1,13
13,2,15,7,2,1,41
14,3,30,14,3,1,141
15,1,10,9,3,1,14
12,3,15,8,5,2,18
17,4,18,11,3,3,48
12,5,35,4,3,1,67
14,1,12,13,4,1,46
17,3,20,9,2,1,99
10,5,12,10,3,1,59
15,3,10,14,2,1,73
13,1,12,9,5,3,21
10,3,18,15,4,1,107
12,5,15,3,3,1,13
15,3,20,8,4,1,66
11,3,10,13,3,4,16
17,4,35,8,4,1,91
8,5,18,7,3,1,39
12,3,12,8,3,4,11
10,1,35,13,3,3,161
11,2,20,15,2,3,137
10,1,18,15,4,1,89
17,4,35,5,3,1,47
13,4,35,6,5,1,32
16,5,25,3,2,1,24
13,3,18,7,2,1,83
14,4,10,18,5,1,49
11,5,10,10,3,1,36
11,5,25,9,4,1,78
12,1,25,7,3,2,58
9,1,10,9,4,1,21
15,1,25,14,4,2,88
11,4,25,9,2,1,64
10,4,10,16,3,1,111
13,6,18,4,3,1,16
11,3,35,12,2,1,180
12,5,18,4,2,4,11
15,3,35,11,4,1,160
13,1,25,7,2,1,78
12,1,25,7,4,1,61
11,3,30,16,3,1,172
14,1,12,10,2,1,106
11,4,12,16,2,1,146
14,1,35,14,5,2,84
12,2,20,6,2,1,56
11,1,25,10,3,1,84
15,4,15,11,2,1,95
14,1,25,11,4,4,32
15,4,30,12,4,2,47
14,1,35,10,2,1,180
16,1,18,8,2,1,71
10,1,25,15,4,4,32
10,3,18,11,3,2,108
13,4,10,8,2,1,39
11,1,10,15,4,1,47
9,5,25,9,3,1,86
16,3,25,9,3,1,75
13,0,20,5,3,1,41
13,2,30,10,4,3,97
10,2,10,12,3,1,56
14,4,10,11,3,2,12
13,5,15,3,2,1,8
15,0,10,12,4,1,38
15,4,10,16,4,2,28
14,1,15,15,3,1,61
11,3,30,12,3,3,146
14,1,12,14,3,1,61
16,0,35,8,2,1,142
12,2,18,6,3,1,41
10,1,30,17,3,3,125
15,0,20,13,3,1,76
12,1,15,6,4,1,23
9,3,20,11,2,3,63
12,0,12,8,4,1,30
12,4,18,7,3,1,49
11,1,18,12,4,1,62
15,1,10,10,3,1,18
9,5,25,5,4,1,19
13,1,35,12,5,3,73
14,1,25,13,4,2,46
8,0,15,7,4,1,15
13,1,30,12,3,1,108
17,3,10,10,5,2,15
9,4,15,10,5,2,18
10,4,20,14,3,3,63
9,3,12,10,2,1,36
16,4,20,9,4,1,58
15,1,15,17,4,1,62
12,3,12,7,4,1,9
12,3,18,7,4,4,10
12,3,20,7,2,1,69
11,2,25,12,3,2,71
8,4,15,7,5,1,13
12,2,15,10,3,4,13
8,3,25,8,3,3,81
17,5,30,7,3,2,50
8,5,35,6,2,1,133
11,1,25,8,2,1,88
13,6,18,3,4,1,14
9,2,18,17,3,1,139
12,2,20,9,3,1,54
8,3,18,10,2,1,99
16,3,25,9,3,1,129
12,1,10,6,4,2,18
16,3,30,10,5,1,81
17,5,35,4,2,1,39
15,2,20,14,4,1,75
14,5,18,7,2,3,27
14,5,25,3,4,2,15
10,3,20,13,5,1,91
13,5,15,4,5,1,16
13,6,35,3,3,1,47
17,3,25,14,3,4,40
10,1,10,17,3,1,90
14,2,20,12,3,2,84
17,4,12,7,3,2,22
11,4,12,14,3,1,65
17,5,35,5,4,1,36
14,1,30,11,5,1,119
10,2,12,17,3,3,57
12,2,30,9,3,1,111
13,2,20,8,4,1,47
13,3,20,8,4,1,34
14,1,18,12,4,3,53
15,4,35,10,5,1,68
11,4,10,10,2,1,60
11,1,15,19,3,1,142
11,1,25,13,3,1,76
8,5,12,6,3,1,32
12,5,10,4,3,1,16
9,2,18,9,4,1,26
9,2,25,14,4,2,34
14,5,35,7,4,3,81
16,4,25,11,3,2,93
9,0,15,12,4,1,57
13,4,25,6,5,1,35
16,3,35,11,3,2,94
15,4,10,12,2,2,30
15,2,15,14,4,1,62
12,6,30,4,4,1,33
10,3,18,12,3,2,60
17,6,25,6,3,1,47
11,4,20,14,3,2,52
16,4,12,8,4,1,31
15,4,25,13,2,1,160
10,5,30,3,3,1,35
12,5,25,3,5,1,9
10,0,35,11,3,2,126
10,6,10,6,2,1,37
13,3,10,7,3,1,22
16,4,20,10,4,3,39
10,1,18,21,5,1,124
13,4,20,8,3,1,31
13,1,18,8,4,1,37
14,5,35,10,4,1,113
13,4,12,7,3,1,36
11,4,18,12,4,2,44
13,4,10,6,5,1,17
11,4,10,14,4,1,50
11,2,30,14,4,2,130
8,0,18,7,5,1,27
13,2,35,6,4,1,92
14,1,30,16,2,3,180
15,4,30,19,3,1,120
11,5,15,6,4,1,33
15,4,10,13,3,1,52
12,1,20,9,3,1,39
9,3,20,18,3,1,71
13,4,35,7,3,1,60
16,3,18,7,4,4,10
14,5,30,8,3,1,104
10,1,10,11,3,1,62
13,3,18,8,2,1,33
10,3,30,9,3,1,85
13,3,18,8,3,1,52
14,5,15,11,2,1,50
12,5,18,5,4,2,5
11,1,20,15,3,2,81
8,4,12,6,4,1,22
13,5,18,4,3,2,10
9,3,15,15,5,1,42
15,1,18,12,2,1,118
15,5,25,6,3,1,64
11,4,15,12,2,1,121
15,1,12,21,2,2,127
14,4,25,12,4,1,105
17,1,15,9,3,1,47
14,2,10,16,2,1,95
13,1,30,9,4,1,110
12,2,15,7,3,3,17
11,4,12,13,3,1,73
17,3,35,7,4,1,54
12,4,30,5,3,2,21
17,4,15,11,2,2,78
9,4,30,7,2,2,65
15,4,18,11,3,3,63
17,3,15,8,4,1,29
10,4,25,13,2,1,154
12,1,12,8,4,4,6
10,4,20,16,3,3,58
9,3,20,11,4,1,60
13,2,12,8,3,1,37
13,4,35,8,3,1,132
15,3,12,10,3,2,11
13,2,18,6,3,1,12
15,4,12,13,4,2,37
11,1,12,8,3,1,45
15,4,30,12,4,1,93
15,5,20,10,2,3,20
11,4,35,19,4,1,108
10,1,30,9,3,2,115
10,2,20,11,4,1,62
14,4,12,13,3,1,68
12,0,20,7,2,1,58
10,1,10,16,3,4,18
13,5,15,3,5,1,8
9,5,15,6,3,1,38
14,1,25,12,2,1,180
13,3,18,6,5,1,16
16,3,12,10,3,2,27
13,0,12,6,2,1,44
11,6,10,7,2,1,44
13,3,10,7,2,1,40
9,1,18,19,3,3,109
10,2,35,12,4,1,150
8,4,20,7,3,4,15
10,0,25,7,5,1,58
14,1,10,15,2,4,13
14,2,30,15,4,1,131
10,4,15,18,2,1,180
15,1,12,11,3,1,51
10,2,15,17,5,1,83
15,1,10,10,2,2,23
11,5,10,7,3,2,20
13,5,30,3,3,1,26
14,3,30,19,3,4,80
11,0,15,12,5,1,66
15,5,18,6,2,4,16
9,1,15,11,5,3,25
12,3,10,9,3,1,35
12,1,15,8,3,3,21
11,4,12,17,3,1,131
9,3,18,14,2,1,85
11,3,10,14,4,1,40
16,1,10,11,3,1,25
14,6,15,9,2,1,71
12,6,20,4,3,1,26
15,1,25,14,4,4,34
12,1,10,5,4,1,13
14,4,35,15,3,1,180
9,4,35,18,5,4,30
10,6,10,8,3,1,21
11,5,25,7,3,2,56
14,4,20,14,2,3,140
15,1,10,10,3,1,40
10,2,12,14,4,1,33
14,2,25,15,3,1,180
12,2,25,7,3,1,68
11,2,15,12,3,1,100
12,4,20,7,3,1,39
14,5,12,7,3,1,45
11,3,18,15,4,2,72
